set,name,variant,condition,rarity,price
25th-anniversary-rarity-collection-yugioh,"Selene, Queen of the Master Magicians (Quarter Century Secret Rare)",1st Edition,Moderately Played,Quarter Century Secret Rare,9.02
25th-anniversary-rarity-collection-yugioh,Forbidden Droplet (PUR),1st Edition,Near Mint,Prismatic Ultimate Rare,8.94
25th-anniversary-rarity-collection-yugioh,Lonefire Blossom (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,7.6
25th-anniversary-rarity-collection-yugioh,"Dogmatika Ecclesia, the Virtuous (Quarter Century Secret Rare)",1st Edition,Heavily Played,Quarter Century Secret Rare,3.0
25th-anniversary-rarity-collection-yugioh,Ash Blossom & Joyous Spring (PUR),1st Edition,Moderately Played,Prismatic Ultimate Rare,4.61
25th-anniversary-rarity-collection-yugioh,Effect Veiler (PCR),1st Edition,Damaged,Prismatic Collector's Rare,6.0
25th-anniversary-rarity-collection-yugioh,Forbidden Droplet (PCR),1st Edition,Moderately Played,Prismatic Collector's Rare,7.95
25th-anniversary-rarity-collection-yugioh,Forbidden Droplet (Secret Rare),1st Edition,Near Mint,Secret Rare,6.67
25th-anniversary-rarity-collection-yugioh,"Nibiru, the Primal Being (Platinum Secret Rare)",1st Edition,Heavily Played,Platinum Secret Rare,4.25
25th-anniversary-rarity-collection-yugioh,Infinite Impermanence (Secret Rare),1st Edition,Near Mint,Secret Rare,6.09
25th-anniversary-rarity-collection-yugioh,Eldlich the Golden Lord (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,3.99
25th-anniversary-rarity-collection-yugioh,Ghost Belle & Haunted Mansion (PCR),1st Edition,Lightly Played,Prismatic Collector's Rare,6.32
25th-anniversary-rarity-collection-yugioh,Dogmatika Punishment (Quarter Century Secret Rare),1st Edition,Heavily Played,Quarter Century Secret Rare,3.49
25th-anniversary-rarity-collection-yugioh,Magician's Salvation (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,6.16
25th-anniversary-rarity-collection-yugioh,25th Anniversary Rarity Collection Sleeved Booster Pack,Normal,Sealed,,9.03
25th-anniversary-rarity-collection-yugioh,Predaplant Dragostapelia (Quarter Century Secret Rare),1st Edition,Damaged,Quarter Century Secret Rare,2.06
25th-anniversary-rarity-collection-yugioh,Effect Veiler (Secret Rare),1st Edition,Damaged,Secret Rare,4.18
25th-anniversary-rarity-collection-yugioh,Harpie's Feather Storm (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,7.05
25th-anniversary-rarity-collection-yugioh,"Nibiru, the Primal Being (PCR)",1st Edition,Damaged,Prismatic Collector's Rare,2.0
25th-anniversary-rarity-collection-yugioh,Small World (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,6.99
25th-anniversary-rarity-collection-yugioh,Elder Entity N'tss (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,5.76
25th-anniversary-rarity-collection-yugioh,Triple Tactics Talent (Platinum Secret Rare),1st Edition,Near Mint,Platinum Secret Rare,5.62
25th-anniversary-rarity-collection-yugioh,Effect Veiler (PUR),1st Edition,Damaged,Prismatic Ultimate Rare,5.0
25th-anniversary-rarity-collection-yugioh,Called by the Grave (PCR),1st Edition,Near Mint,Prismatic Collector's Rare,4.09
25th-anniversary-rarity-collection-yugioh,Lightning Storm (PCR),1st Edition,Moderately Played,Prismatic Collector's Rare,4.3
25th-anniversary-rarity-collection-yugioh,Decode Talker Heatsoul (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,3.25
25th-anniversary-rarity-collection-yugioh,Reinforcement of the Army (Platinum Secret Rare),1st Edition,Near Mint,Platinum Secret Rare,5.45
25th-anniversary-rarity-collection-yugioh,Blue-Eyes Abyss Dragon (Quarter Century Secret Rare),1st Edition,Damaged,Quarter Century Secret Rare,4.99
25th-anniversary-rarity-collection-yugioh,Triple Tactics Talent,1st Edition,Lightly Played,Super Rare,1.95
25th-anniversary-rarity-collection-yugioh,Called by the Grave (Platinum Secret Rare),1st Edition,Moderately Played,Platinum Secret Rare,6.3
25th-anniversary-rarity-collection-yugioh,Inspector Boarder (Quarter Century Secret Rare),1st Edition,Lightly Played,Quarter Century Secret Rare,5.62
25th-anniversary-rarity-collection-yugioh,Knightmare Unicorn (Alternate Art) (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,4.55
25th-anniversary-rarity-collection-yugioh,Chaos Space (Quarter Century Secret Rare),1st Edition,Heavily Played,Quarter Century Secret Rare,2.75
25th-anniversary-rarity-collection-yugioh,Lightning Storm (PUR),1st Edition,Damaged,Prismatic Ultimate Rare,1.7
25th-anniversary-rarity-collection-yugioh,Time Thief Redoer (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,3.55
25th-anniversary-rarity-collection-yugioh,Triple Tactics Talent (Secret Rare),1st Edition,Near Mint,Secret Rare,3.45
25th-anniversary-rarity-collection-yugioh,Ghost Belle & Haunted Mansion (Platinum Secret Rare),1st Edition,Lightly Played,Platinum Secret Rare,4.38
25th-anniversary-rarity-collection-yugioh,"Cherubini, Ebon Angel of the Burning Abyss (Quarter Century Secret Rare)",1st Edition,Near Mint,Quarter Century Secret Rare,5.44
25th-anniversary-rarity-collection-yugioh,Junk Speeder (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,2.99
25th-anniversary-rarity-collection-yugioh,Lightning Storm (Platinum Secret Rare),1st Edition,Moderately Played,Platinum Secret Rare,5.15
25th-anniversary-rarity-collection-yugioh,Triple Tactics Talent (PUR),1st Edition,Near Mint,Prismatic Ultimate Rare,4.96
25th-anniversary-rarity-collection-yugioh,Called by the Grave (PUR),1st Edition,Moderately Played,Prismatic Ultimate Rare,2.99
25th-anniversary-rarity-collection-yugioh,Triple Tactics Talent (PCR),1st Edition,Near Mint,Prismatic Collector's Rare,3.47
25th-anniversary-rarity-collection-yugioh,Ice Dragon's Prison (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,4.65
25th-anniversary-rarity-collection-yugioh,Egyptian God Slime (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,4.75
25th-anniversary-rarity-collection-yugioh,25th Anniversary Rarity Collection Booster Pack,Normal,Sealed,,6.43
25th-anniversary-rarity-collection-yugioh,"Nibiru, the Primal Being (PUR)",1st Edition,Moderately Played,Prismatic Ultimate Rare,2.5
25th-anniversary-rarity-collection-yugioh,Mekk-Knight Crusadia Avramax (Quarter Century Secret Rare),1st Edition,Damaged,Quarter Century Secret Rare,2.0
25th-anniversary-rarity-collection-yugioh,Danger!? Jackalope? (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,4.4
25th-anniversary-rarity-collection-yugioh,Forbidden Droplet,1st Edition,Heavily Played,Super Rare,3.0
25th-anniversary-rarity-collection-yugioh,Lightning Storm (Secret Rare),1st Edition,Heavily Played,Secret Rare,1.99
25th-anniversary-rarity-collection-yugioh,Reasoning (Quarter Century Secret Rare),1st Edition,Damaged,Quarter Century Secret Rare,5.0
25th-anniversary-rarity-collection-yugioh,Downerd Magician (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,3.61
25th-anniversary-rarity-collection-yugioh,Forbidden Droplet (UR),1st Edition,Damaged,Ultra Rare,1.95
25th-anniversary-rarity-collection-yugioh,Number 100: Numeron Dragon (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,3.0
25th-anniversary-rarity-collection-yugioh,Blackwing - Simoon the Poison Wind (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,3.18
25th-anniversary-rarity-collection-yugioh,Evenly Matched (Platinum Secret Rare),1st Edition,Damaged,Platinum Secret Rare,3.0
25th-anniversary-rarity-collection-yugioh,Cyber Angel Benten (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,4.8
25th-anniversary-rarity-collection-yugioh,Ghost Belle & Haunted Mansion (PUR),1st Edition,Moderately Played,Prismatic Ultimate Rare,1.99
25th-anniversary-rarity-collection-yugioh,Ash Blossom & Joyous Spring (Secret Rare),1st Edition,Damaged,Secret Rare,2.49
25th-anniversary-rarity-collection-yugioh,Artifact Lancea (PCR),1st Edition,Moderately Played,Prismatic Collector's Rare,4.15
25th-anniversary-rarity-collection-yugioh,Ghost Belle & Haunted Mansion (Secret Rare),1st Edition,Moderately Played,Secret Rare,1.08
25th-anniversary-rarity-collection-yugioh,Lightning Storm,1st Edition,Damaged,Super Rare,1.39
25th-anniversary-rarity-collection-yugioh,Infinite Impermanence (UR),1st Edition,Heavily Played,Ultra Rare,3.0
25th-anniversary-rarity-collection-yugioh,Ancient Fairy Dragon (Platinum Secret Rare),1st Edition,Moderately Played,Platinum Secret Rare,2.0
25th-anniversary-rarity-collection-yugioh,The Iris Swordsoul (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,3.0
25th-anniversary-rarity-collection-yugioh,Tri-Brigade Revolt (Quarter Century Secret Rare),1st Edition,Lightly Played,Quarter Century Secret Rare,2.1
25th-anniversary-rarity-collection-yugioh,Galaxy-Eyes Full Armor Photon Dragon (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,4.5
25th-anniversary-rarity-collection-yugioh,Galaxy-Eyes Afterglow Dragon (Quarter Century Secret Rare),1st Edition,Moderately Played,Quarter Century Secret Rare,2.5
25th-anniversary-rarity-collection-yugioh,Evenly Matched (PCR),1st Edition,Near Mint,Prismatic Collector's Rare,3.71
25th-anniversary-rarity-collection-yugioh,Artifact Lancea (PUR),1st Edition,Heavily Played,Prismatic Ultimate Rare,0.64
25th-anniversary-rarity-collection-yugioh,Knightmare Unicorn (Quarter Century Secret Rare),1st Edition,Heavily Played,Quarter Century Secret Rare,2.99
25th-anniversary-rarity-collection-yugioh,Pot of Prosperity (Platinum Secret Rare),1st Edition,Damaged,Platinum Secret Rare,2.0
25th-anniversary-rarity-collection-yugioh,Infinite Impermanence,1st Edition,Moderately Played,Super Rare,3.25
25th-anniversary-rarity-collection-yugioh,Artifact Lancea (Platinum Secret Rare),1st Edition,Moderately Played,Platinum Secret Rare,2.75
25th-anniversary-rarity-collection-yugioh,Dimension Shifter (Platinum Secret Rare),1st Edition,Damaged,Platinum Secret Rare,0.99
25th-anniversary-rarity-collection-yugioh,Lava Golem (Platinum Secret Rare),1st Edition,Moderately Played,Platinum Secret Rare,2.69
25th-anniversary-rarity-collection-yugioh,Lightning Storm (UR),1st Edition,Heavily Played,Ultra Rare,0.4
25th-anniversary-rarity-collection-yugioh,Herald of the Arc Light (PCR),1st Edition,Moderately Played,Prismatic Collector's Rare,0.49
25th-anniversary-rarity-collection-yugioh,Herald of the Arc Light (Platinum Secret Rare),1st Edition,Lightly Played,Platinum Secret Rare,3.26
25th-anniversary-rarity-collection-yugioh,Fallen of Albaz (Platinum Secret Rare),1st Edition,Moderately Played,Platinum Secret Rare,2.15
25th-anniversary-rarity-collection-yugioh,Ash Blossom & Joyous Spring (UR),1st Edition,Damaged,Ultra Rare,1.35
25th-anniversary-rarity-collection-yugioh,Dark Ruler No More (Platinum Secret Rare),1st Edition,Lightly Played,Platinum Secret Rare,3.16
25th-anniversary-rarity-collection-yugioh,"Dingirsu, the Orcust of the Evening Star (Platinum Secret Rare)",1st Edition,Lightly Played,Platinum Secret Rare,2.65
25th-anniversary-rarity-collection-yugioh,Dimensional Barrier (Platinum Secret Rare),1st Edition,Moderately Played,Platinum Secret Rare,2.54
25th-anniversary-rarity-collection-yugioh,The Winged Dragon of Ra - Sphere Mode (Platinum Secret Rare),1st Edition,Lightly Played,Platinum Secret Rare,2.11
25th-anniversary-rarity-collection-yugioh,Red-Eyes Flare Metal Dragon (Platinum Secret Rare),1st Edition,Lightly Played,Platinum Secret Rare,3.48
25th-anniversary-rarity-collection-yugioh,Compulsory Evacuation Device (Platinum Secret Rare),1st Edition,Lightly Played,Platinum Secret Rare,2.29
25th-anniversary-rarity-collection-yugioh,Evenly Matched (PUR),1st Edition,Heavily Played,Prismatic Ultimate Rare,2.99
25th-anniversary-rarity-collection-yugioh,Called by the Grave (Secret Rare),1st Edition,Heavily Played,Secret Rare,1.7
25th-anniversary-rarity-collection-yugioh,Baronne de Fleur (Platinum Secret Rare),1st Edition,Moderately Played,Platinum Secret Rare,2.63
25th-anniversary-rarity-collection-yugioh,Dimensional Barrier (PCR),1st Edition,Moderately Played,Prismatic Collector's Rare,1.5
25th-anniversary-rarity-collection-yugioh,"Alpha, the Master of Beasts (Quarter Century Secret Rare)",1st Edition,Lightly Played,Quarter Century Secret Rare,2.81
25th-anniversary-rarity-collection-yugioh,Nadir Servant (Platinum Secret Rare),1st Edition,Near Mint,Platinum Secret Rare,2.79
25th-anniversary-rarity-collection-yugioh,Shaddoll Schism (Quarter Century Secret Rare),1st Edition,Damaged,Quarter Century Secret Rare,0.9
25th-anniversary-rarity-collection-yugioh,Pre-Preparation of Rites (Platinum Secret Rare),1st Edition,Moderately Played,Platinum Secret Rare,1.27
25th-anniversary-rarity-collection-yugioh,Dark Ruler No More (PCR),1st Edition,Moderately Played,Prismatic Collector's Rare,2.25
25th-anniversary-rarity-collection-yugioh,Ghostrick Angel of Mischief (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,2.31
25th-anniversary-rarity-collection-yugioh,Dimensional Barrier (PUR),1st Edition,Damaged,Prismatic Ultimate Rare,1.21
25th-anniversary-rarity-collection-yugioh,Nadir Servant (PCR),1st Edition,Heavily Played,Prismatic Collector's Rare,1.55
25th-anniversary-rarity-collection-yugioh,Summon Limit (Quarter Century Secret Rare),1st Edition,Lightly Played,Quarter Century Secret Rare,2.87
25th-anniversary-rarity-collection-yugioh,Ice Barrier (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,2.13
25th-anniversary-rarity-collection-yugioh,Ice Barrier (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,2.13
25th-anniversary-rarity-collection-yugioh,Mudragon of the Swamp (Platinum Secret Rare),1st Edition,Damaged,Platinum Secret Rare,0.52
25th-anniversary-rarity-collection-yugioh,Ash Blossom & Joyous Spring,1st Edition,Heavily Played,Super Rare,1.0
25th-anniversary-rarity-collection-yugioh,Pot of Extravagance (Platinum Secret Rare),1st Edition,Lightly Played,Platinum Secret Rare,1.23
25th-anniversary-rarity-collection-yugioh,Nadir Servant (PUR),1st Edition,Damaged,Prismatic Ultimate Rare,0.98
25th-anniversary-rarity-collection-yugioh,Spellbook of Judgment (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,2.49
25th-anniversary-rarity-collection-yugioh,Dark Ruler No More (PUR),1st Edition,Moderately Played,Prismatic Ultimate Rare,1.23
25th-anniversary-rarity-collection-yugioh,Triple Tactics Talent (UR),1st Edition,Lightly Played,Ultra Rare,1.88
25th-anniversary-rarity-collection-yugioh,"Nibiru, the Primal Being (Secret Rare)",1st Edition,Damaged,Secret Rare,1.0
25th-anniversary-rarity-collection-yugioh,Lava Golem (PUR),1st Edition,Heavily Played,Prismatic Ultimate Rare,1.25
25th-anniversary-rarity-collection-yugioh,Pot of Prosperity,1st Edition,Heavily Played,Super Rare,1.49
25th-anniversary-rarity-collection-yugioh,Pot of Prosperity (PCR),1st Edition,Moderately Played,Prismatic Collector's Rare,2.5
25th-anniversary-rarity-collection-yugioh,Magicalized Fusion (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,2.52
25th-anniversary-rarity-collection-yugioh,Harpie's Feather Storm (Platinum Secret Rare),1st Edition,Heavily Played,Platinum Secret Rare,1.25
25th-anniversary-rarity-collection-yugioh,Fallen of Albaz (PCR),1st Edition,Lightly Played,Prismatic Collector's Rare,2.31
25th-anniversary-rarity-collection-yugioh,Artifact Lancea (Secret Rare),1st Edition,Near Mint,Secret Rare,1.22
25th-anniversary-rarity-collection-yugioh,Pot of Prosperity (Secret Rare),1st Edition,Heavily Played,Secret Rare,0.75
25th-anniversary-rarity-collection-yugioh,Pre-Preparation of Rites (PCR),1st Edition,Moderately Played,Prismatic Collector's Rare,2.45
25th-anniversary-rarity-collection-yugioh,Lava Golem (PCR),1st Edition,Lightly Played,Prismatic Collector's Rare,1.53
25th-anniversary-rarity-collection-yugioh,Fallen of Albaz (PUR),1st Edition,Damaged,Prismatic Ultimate Rare,0.5
25th-anniversary-rarity-collection-yugioh,Pot of Extravagance (PUR),1st Edition,Moderately Played,Prismatic Ultimate Rare,0.75
25th-anniversary-rarity-collection-yugioh,Evenly Matched (Secret Rare),1st Edition,Damaged,Secret Rare,1.75
25th-anniversary-rarity-collection-yugioh,Dimension Shifter (PCR),1st Edition,Near Mint,Prismatic Collector's Rare,0.98
25th-anniversary-rarity-collection-yugioh,Pot of Extravagance (PCR),1st Edition,Lightly Played,Prismatic Collector's Rare,1.66
25th-anniversary-rarity-collection-yugioh,Wynn the Wind Channeler (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,2.0
25th-anniversary-rarity-collection-yugioh,Reinforcement of the Army (PUR),1st Edition,Lightly Played,Prismatic Ultimate Rare,1.88
25th-anniversary-rarity-collection-yugioh,Fossil Dig (Platinum Secret Rare),1st Edition,Lightly Played,Platinum Secret Rare,1.4
25th-anniversary-rarity-collection-yugioh,Magician's Salvation (Platinum Secret Rare),1st Edition,Near Mint,Platinum Secret Rare,2.17
25th-anniversary-rarity-collection-yugioh,"Selene, Queen of the Master Magicians (Platinum Secret Rare)",1st Edition,Near Mint,Platinum Secret Rare,2.13
25th-anniversary-rarity-collection-yugioh,Pot of Extravagance (Secret Rare),1st Edition,Heavily Played,Secret Rare,0.35
25th-anniversary-rarity-collection-yugioh,Masked HERO Dark Law (Platinum Secret Rare),1st Edition,Moderately Played,Platinum Secret Rare,0.9
25th-anniversary-rarity-collection-yugioh,Herald of the Arc Light (PUR),1st Edition,Damaged,Prismatic Ultimate Rare,0.55
25th-anniversary-rarity-collection-yugioh,Shaddoll Schism (Platinum Secret Rare),1st Edition,Damaged,Platinum Secret Rare,0.08
25th-anniversary-rarity-collection-yugioh,Mudragon of the Swamp (PUR),1st Edition,Moderately Played,Prismatic Ultimate Rare,0.3
25th-anniversary-rarity-collection-yugioh,Fairy Tail - Luna (Quarter Century Secret Rare),1st Edition,Near Mint,Quarter Century Secret Rare,1.72
25th-anniversary-rarity-collection-yugioh,Pot of Desires (PCR),1st Edition,Moderately Played,Prismatic Collector's Rare,0.75
25th-anniversary-rarity-collection-yugioh,Change of Heart (Platinum Secret Rare),1st Edition,Near Mint,Platinum Secret Rare,1.94
25th-anniversary-rarity-collection-yugioh,Reinforcement of the Army (PCR),1st Edition,Lightly Played,Prismatic Collector's Rare,1.75
25th-anniversary-rarity-collection-yugioh,Pot of Prosperity (UR),1st Edition,Heavily Played,Ultra Rare,1.14
25th-anniversary-rarity-collection-yugioh,Baronne de Fleur (PCR),1st Edition,Near Mint,Prismatic Collector's Rare,1.56
25th-anniversary-rarity-collection-yugioh,Knightmare Unicorn (Alternate Art) (PUR),1st Edition,Near Mint,Prismatic Ultimate Rare,1.0
25th-anniversary-rarity-collection-yugioh,Pre-Preparation of Rites (PUR),1st Edition,Heavily Played,Prismatic Ultimate Rare,0.69
25th-anniversary-rarity-collection-yugioh,Dimensional Barrier (Secret Rare),1st Edition,Near Mint,Secret Rare,1.8
25th-anniversary-rarity-collection-yugioh,Lava Golem (Secret Rare),1st Edition,Damaged,Secret Rare,0.4
25th-anniversary-rarity-collection-yugioh,Elder Entity N'tss (Platinum Secret Rare),1st Edition,Near Mint,Platinum Secret Rare,1.35
25th-anniversary-rarity-collection-yugioh,Change of Heart (PCR),1st Edition,Near Mint,Prismatic Collector's Rare,1.26
25th-anniversary-rarity-collection-yugioh,Baronne de Fleur (PUR),1st Edition,Lightly Played,Prismatic Ultimate Rare,1.2
25th-anniversary-rarity-collection-yugioh,Tour Guide From the Underworld (Platinum Secret Rare),1st Edition,Near Mint,Platinum Secret Rare,1.79
25th-anniversary-rarity-collection-yugioh,Nadir Servant (Secret Rare),1st Edition,Damaged,Secret Rare,1.0
25th-anniversary-rarity-collection-yugioh,Ancient Fairy Dragon (PUR),1st Edition,Damaged,Prismatic Ultimate Rare,0.47
25th-anniversary-rarity-collection-yugioh,Effect Veiler (UR),1st Edition,Heavily Played,Ultra Rare,1.0
25th-anniversary-rarity-collection-yugioh,Red-Eyes Flare Metal Dragon (PUR),1st Edition,Lightly Played,Prismatic Ultimate Rare,1.22
25th-anniversary-rarity-collection-yugioh,Ancient Fairy Dragon (PCR),1st Edition,Damaged,Prismatic Collector's Rare,0.35
