name,set_name,desc,attribute,race,archetype,atk,def,level,linkval,price_market,price_tier
Lava Golem,Duel Terminal 3,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's field by Tributing 2 monsters they control. You cannot Normal Summon/Set the turn you Special Summon this card. Once per turn, during your Standby Phase: Take 1000 damage.",FIRE,Fiend,,3000.0,2500.0,8.0,,0.2,0
Lava Golem,Speed Duel Starter Decks: Twisted Nightmares,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's field by Tributing 2 monsters they control. You cannot Normal Summon/Set the turn you Special Summon this card. Once per turn, during your Standby Phase: Take 1000 damage.",FIRE,Fiend,,3000.0,2500.0,8.0,,0.2,0
Lava Golem,Pharaonic Guardian,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's field by Tributing 2 monsters they control. You cannot Normal Summon/Set the turn you Special Summon this card. Once per turn, during your Standby Phase: Take 1000 damage.",FIRE,Fiend,,3000.0,2500.0,8.0,,0.2,0
Lava Golem,Speed Duel Tournament Pack 3,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's field by Tributing 2 monsters they control. You cannot Normal Summon/Set the turn you Special Summon this card. Once per turn, during your Standby Phase: Take 1000 damage.",FIRE,Fiend,,3000.0,2500.0,8.0,,0.2,0
A Legendary Ocean,Hobby League 1 participation cards B,"(This card's name is always treated as ""Umi"".)
All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",,Field,Umi,,,,,0.27,0
A Legendary Ocean,Legacy of Darkness,"(This card's name is always treated as ""Umi"".)
All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",,Field,Umi,,,,,0.27,0
A Legendary Ocean,Legacy of Darkness,"(This card's name is always treated as ""Umi"".)
All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",,Field,Umi,,,,,0.27,0
A Legendary Ocean,Legendary Duelists,"(This card's name is always treated as ""Umi"".)
All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",,Field,Umi,,,,,0.27,0
A Legendary Ocean,Structure Deck: Fury from the Deep,"(This card's name is always treated as ""Umi"".)
All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",,Field,Umi,,,,,0.27,0
A Legendary Ocean,Legendary Duelists: Season 1,"(This card's name is always treated as ""Umi"".)
All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",,Field,Umi,,,,,0.27,0
A Legendary Ocean,Dark Beginning 2,"(This card's name is always treated as ""Umi"".)
All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",,Field,Umi,,,,,0.27,0
A Legendary Ocean,Speed Duel GX: Midterm Paradox,"(This card's name is always treated as ""Umi"".)
All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",,Field,Umi,,,,,0.27,0
A Legendary Ocean,Retro Pack 2,"(This card's name is always treated as ""Umi"".)
All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",,Field,Umi,,,,,0.27,0
A Legendary Ocean,Speed Duel: Streets of Battle City,"(This card's name is always treated as ""Umi"".)
All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",,Field,Umi,,,,,0.27,0
A Legendary Ocean,Realm of the Sea Emperor Structure Deck,"(This card's name is always treated as ""Umi"".)
All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",,Field,Umi,,,,,0.27,0
A Legendary Ocean,Magnificent Mavens,"(This card's name is always treated as ""Umi"".)
All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",,Field,Umi,,,,,0.27,0
Draw of Fate,Egyptian God Deck: Slifer the Sky Dragon,"If your LP are lower than your opponent's and your opponent controls a monster with the highest ATK on the field (even if it's tied): Reveal 3 cards with different names from your Deck, place them on top of your Deck in random order, then draw 1 card. For the rest of this turn after this card resolves, you cannot Set Spells/Traps, also you can only activate one more card or effect. You can only activate 1 ""Draw of Fate"" per turn.",,Normal,,,,,,0.13,0
Draw of Fate,Duel Power,"If your LP are lower than your opponent's and your opponent controls a monster with the highest ATK on the field (even if it's tied): Reveal 3 cards with different names from your Deck, place them on top of your Deck in random order, then draw 1 card. For the rest of this turn after this card resolves, you cannot Set Spells/Traps, also you can only activate one more card or effect. You can only activate 1 ""Draw of Fate"" per turn.",,Normal,,,,,,0.13,0
Magic Planter,Structure Deck: Soulburner,Send 1 face-up Continuous Trap you control to the GY; draw 2 cards.,,Normal,,,,,,0.12,0
Magic Planter,Legendary Collection 5D's Mega Pack,Send 1 face-up Continuous Trap you control to the GY; draw 2 cards.,,Normal,,,,,,0.12,0
Magic Planter,Valiant Smashers,Send 1 face-up Continuous Trap you control to the GY; draw 2 cards.,,Normal,,,,,,0.12,0
Magic Planter,Shadows in Valhalla,Send 1 face-up Continuous Trap you control to the GY; draw 2 cards.,,Normal,,,,,,0.12,0
Magic Planter,Raging Battle,Send 1 face-up Continuous Trap you control to the GY; draw 2 cards.,,Normal,,,,,,0.12,0
Cyber Dragon Nachster,Structure Deck: Cyber Strike,"This card's name becomes ""Cyber Dragon"" while on the field or in the GY. You can discard 1 other monster; Special Summon this card from your hand. If this card is Normal or Special Summoned: You can target 1 Machine monster with 2100 ATK or DEF in your GY; Special Summon it, also, you cannot Special Summon monsters for the rest of this turn, except Machine monsters. You can only use each effect of ""Cyber Dragon Nachster"" once per turn.",LIGHT,Machine,Cyber Dragon,200.0,200.0,1.0,,0.81,1
Cyber Dragon Nachster,Duel Power,"This card's name becomes ""Cyber Dragon"" while on the field or in the GY. You can discard 1 other monster; Special Summon this card from your hand. If this card is Normal or Special Summoned: You can target 1 Machine monster with 2100 ATK or DEF in your GY; Special Summon it, also, you cannot Special Summon monsters for the rest of this turn, except Machine monsters. You can only use each effect of ""Cyber Dragon Nachster"" once per turn.",LIGHT,Machine,Cyber Dragon,200.0,200.0,1.0,,0.81,1
Cyber Dragon Nachster,Legendary Duelists: Season 2,"This card's name becomes ""Cyber Dragon"" while on the field or in the GY. You can discard 1 other monster; Special Summon this card from your hand. If this card is Normal or Special Summoned: You can target 1 Machine monster with 2100 ATK or DEF in your GY; Special Summon it, also, you cannot Special Summon monsters for the rest of this turn, except Machine monsters. You can only use each effect of ""Cyber Dragon Nachster"" once per turn.",LIGHT,Machine,Cyber Dragon,200.0,200.0,1.0,,0.81,1
Wind-Up Zenmaintenance,Flames of Destruction,"2 ""Wind-Up"" monsters
If this card is destroyed and sent to the GY: You can target 1 ""Wind-Up"" Xyz Monster you control; attach this card to it as material. You can only use each of the following effects of ""Wind-Up Zenmaintenance"" once per turn.
● If this card is Link Summoned: You can add 1 ""Wind-Up"" card from your Deck to your hand.
● You can banish 1 face-up ""Wind-Up"" monster you control, face-down; Special Summon 1 monster from your Deck with the same name that card had on the field.",LIGHT,Machine,Wind-Up,1800.0,,,2.0,0.1,0
Instant Fusion,Astral Pack Eight,"Pay 1000 LP; Special Summon 1 Level 5 or lower Fusion Monster from your Extra Deck, but it cannot attack, also it is destroyed during the End Phase. (This is treated as a Fusion Summon.) You can only activate 1 ""Instant Fusion"" per turn.",,Normal,,,,,,0.3,0
Instant Fusion,Duel Terminal 4,"Pay 1000 LP; Special Summon 1 Level 5 or lower Fusion Monster from your Extra Deck, but it cannot attack, also it is destroyed during the End Phase. (This is treated as a Fusion Summon.) You can only activate 1 ""Instant Fusion"" per turn.",,Normal,,,,,,0.3,0
Instant Fusion,Champion Pack: Game Seven,"Pay 1000 LP; Special Summon 1 Level 5 or lower Fusion Monster from your Extra Deck, but it cannot attack, also it is destroyed during the End Phase. (This is treated as a Fusion Summon.) You can only activate 1 ""Instant Fusion"" per turn.",,Normal,,,,,,0.3,0
Instant Fusion,Structure Deck: Shaddoll Showdown,"Pay 1000 LP; Special Summon 1 Level 5 or lower Fusion Monster from your Extra Deck, but it cannot attack, also it is destroyed during the End Phase. (This is treated as a Fusion Summon.) You can only activate 1 ""Instant Fusion"" per turn.",,Normal,,,,,,0.3,0
Instant Fusion,OTS Tournament Pack 4,"Pay 1000 LP; Special Summon 1 Level 5 or lower Fusion Monster from your Extra Deck, but it cannot attack, also it is destroyed during the End Phase. (This is treated as a Fusion Summon.) You can only activate 1 ""Instant Fusion"" per turn.",,Normal,,,,,,0.3,0
Instant Fusion,Astral Pack Two,"Pay 1000 LP; Special Summon 1 Level 5 or lower Fusion Monster from your Extra Deck, but it cannot attack, also it is destroyed during the End Phase. (This is treated as a Fusion Summon.) You can only activate 1 ""Instant Fusion"" per turn.",,Normal,,,,,,0.3,0
Instant Fusion,Legendary Collection 2: The Duel Academy Years Mega Pack,"Pay 1000 LP; Special Summon 1 Level 5 or lower Fusion Monster from your Extra Deck, but it cannot attack, also it is destroyed during the End Phase. (This is treated as a Fusion Summon.) You can only activate 1 ""Instant Fusion"" per turn.",,Normal,,,,,,0.3,0
Instant Fusion,Legendary Duelists: Ancient Millennium,"Pay 1000 LP; Special Summon 1 Level 5 or lower Fusion Monster from your Extra Deck, but it cannot attack, also it is destroyed during the End Phase. (This is treated as a Fusion Summon.) You can only activate 1 ""Instant Fusion"" per turn.",,Normal,,,,,,0.3,0
Instant Fusion,Cyberdark Impact,"Pay 1000 LP; Special Summon 1 Level 5 or lower Fusion Monster from your Extra Deck, but it cannot attack, also it is destroyed during the End Phase. (This is treated as a Fusion Summon.) You can only activate 1 ""Instant Fusion"" per turn.",,Normal,,,,,,0.3,0
Instant Fusion,Fusion Enforcers,"Pay 1000 LP; Special Summon 1 Level 5 or lower Fusion Monster from your Extra Deck, but it cannot attack, also it is destroyed during the End Phase. (This is treated as a Fusion Summon.) You can only activate 1 ""Instant Fusion"" per turn.",,Normal,,,,,,0.3,0
Instant Fusion,Ra Yellow Mega Pack,"Pay 1000 LP; Special Summon 1 Level 5 or lower Fusion Monster from your Extra Deck, but it cannot attack, also it is destroyed during the End Phase. (This is treated as a Fusion Summon.) You can only activate 1 ""Instant Fusion"" per turn.",,Normal,,,,,,0.3,0
Instant Fusion,Magnificent Mavens,"Pay 1000 LP; Special Summon 1 Level 5 or lower Fusion Monster from your Extra Deck, but it cannot attack, also it is destroyed during the End Phase. (This is treated as a Fusion Summon.) You can only activate 1 ""Instant Fusion"" per turn.",,Normal,,,,,,0.3,0
Decode Talker,OTS Tournament Pack 6,"2+ Effect Monsters
Gains 500 ATK for each monster it points to. When your opponent activates a card or effect that targets a card(s) you control (Quick Effect): You can Tribute 1 monster this card points to; negate the activation, and if you do, destroy that card.",DARK,Cyberse,Code Talker,2300.0,,,3.0,0.05,0
Decode Talker,25th Anniversary Tin: Dueling Heroes,"2+ Effect Monsters
Gains 500 ATK for each monster it points to. When your opponent activates a card or effect that targets a card(s) you control (Quick Effect): You can Tribute 1 monster this card points to; negate the activation, and if you do, destroy that card.",DARK,Cyberse,Code Talker,2300.0,,,3.0,0.05,0
Decode Talker,Starter Deck: Codebreaker,"2+ Effect Monsters
Gains 500 ATK for each monster it points to. When your opponent activates a card or effect that targets a card(s) you control (Quick Effect): You can Tribute 1 monster this card points to; negate the activation, and if you do, destroy that card.",DARK,Cyberse,Code Talker,2300.0,,,3.0,0.05,0
Decode Talker,Duel Power,"2+ Effect Monsters
Gains 500 ATK for each monster it points to. When your opponent activates a card or effect that targets a card(s) you control (Quick Effect): You can Tribute 1 monster this card points to; negate the activation, and if you do, destroy that card.",DARK,Cyberse,Code Talker,2300.0,,,3.0,0.04,0
Decode Talker,Duel Devastator,"2+ Effect Monsters
Gains 500 ATK for each monster it points to. When your opponent activates a card or effect that targets a card(s) you control (Quick Effect): You can Tribute 1 monster this card points to; negate the activation, and if you do, destroy that card.",DARK,Cyberse,Code Talker,2300.0,,,3.0,0.05,0
Decode Talker,Star Pack VRAINS,"2+ Effect Monsters
Gains 500 ATK for each monster it points to. When your opponent activates a card or effect that targets a card(s) you control (Quick Effect): You can Tribute 1 monster this card points to; negate the activation, and if you do, destroy that card.",DARK,Cyberse,Code Talker,2300.0,,,3.0,0.05,0
Decode Talker,Star Pack VRAINS,"2+ Effect Monsters
Gains 500 ATK for each monster it points to. When your opponent activates a card or effect that targets a card(s) you control (Quick Effect): You can Tribute 1 monster this card points to; negate the activation, and if you do, destroy that card.",DARK,Cyberse,Code Talker,2300.0,,,3.0,0.05,0
Decode Talker,Starter Deck: Link Strike,"2+ Effect Monsters
Gains 500 ATK for each monster it points to. When your opponent activates a card or effect that targets a card(s) you control (Quick Effect): You can Tribute 1 monster this card points to; negate the activation, and if you do, destroy that card.",DARK,Cyberse,Code Talker,2300.0,,,3.0,0.05,0
Nadir Servant,25th Anniversary Rarity Collection,"Send 1 monster from your Extra Deck to the GY, then add 1 ""Dogmatika"" monster or ""Fallen of Albaz"" from your Deck or GY to your hand, that has ATK less than or equal to that sent monster in the GY, also, for the rest of this turn after this card resolves, you cannot Special Summon monsters from the Extra Deck. You can only activate 1 ""Nadir Servant"" per turn.",,Normal,,,,,,0.8,1
Nadir Servant,25th Anniversary Rarity Collection,"Send 1 monster from your Extra Deck to the GY, then add 1 ""Dogmatika"" monster or ""Fallen of Albaz"" from your Deck or GY to your hand, that has ATK less than or equal to that sent monster in the GY, also, for the rest of this turn after this card resolves, you cannot Special Summon monsters from the Extra Deck. You can only activate 1 ""Nadir Servant"" per turn.",,Normal,,,,,,0.8,1
Nadir Servant,2021 Tin of Ancient Battles,"Send 1 monster from your Extra Deck to the GY, then add 1 ""Dogmatika"" monster or ""Fallen of Albaz"" from your Deck or GY to your hand, that has ATK less than or equal to that sent monster in the GY, also, for the rest of this turn after this card resolves, you cannot Special Summon monsters from the Extra Deck. You can only activate 1 ""Nadir Servant"" per turn.",,Normal,,,,,,0.8,1
Nadir Servant,Rise of the Duelist,"Send 1 monster from your Extra Deck to the GY, then add 1 ""Dogmatika"" monster or ""Fallen of Albaz"" from your Deck or GY to your hand, that has ATK less than or equal to that sent monster in the GY, also, for the rest of this turn after this card resolves, you cannot Special Summon monsters from the Extra Deck. You can only activate 1 ""Nadir Servant"" per turn.",,Normal,,,,,,0.8,1
Armor Ninjitsu Art of Rust Mist,Order of Chaos,"When a monster(s) is Special Summoned to your opponent's field, if you control a ""Ninja"" monster: Halve the current ATK of that Special Summoned monster(s).",,Continuous,Ninja,,,,,0.07,0
Armor Ninjitsu Art of Rust Mist,Shadows in Valhalla,"When a monster(s) is Special Summoned to your opponent's field, if you control a ""Ninja"" monster: Halve the current ATK of that Special Summoned monster(s).",,Continuous,Ninja,,,,,0.07,0
Valkyrie Brunhilde,Shadows in Valhalla,"Unaffected by your opponent's Spell effects. Gains 500 ATK for each monster your opponent controls. When an opponent's monster declares an attack: You can have this card lose exactly 1000 DEF, and if you do, your ""Valkyrie"" monsters cannot be destroyed by battle this turn.",LIGHT,Fairy,Valkyrie,1800.0,2000.0,7.0,,1.0,1
Mayakashi Return,Hidden Summoners,"Take 1 ""Mayakashi"" card from your Deck, except ""Mayakashi Return"", and either add it to your hand or send it to the GY. You can only activate 1 ""Mayakashi Return"" per turn.",,Normal,Mayakashi,,,,,0.12,0
Mayakashi Return,Magnificent Mavens,"Take 1 ""Mayakashi"" card from your Deck, except ""Mayakashi Return"", and either add it to your hand or send it to the GY. You can only activate 1 ""Mayakashi Return"" per turn.",,Normal,Mayakashi,,,,,0.12,0
Knightmare Phoenix,Genesis Impact,"2 monsters with different names
If this card is Link Summoned: You can discard 1 card, then target 1 Spell/Trap your opponent controls; destroy it, then, if this card was co-linked when this effect was activated, you can draw 1 card. You can only use this effect of ""Knightmare Phoenix"" once per turn. Co-linked monsters you control cannot be destroyed by battle.",FIRE,Fiend,Knightmare,1900.0,,,2.0,0.25,0
Knightmare Phoenix,Genesis Impact,"2 monsters with different names
If this card is Link Summoned: You can discard 1 card, then target 1 Spell/Trap your opponent controls; destroy it, then, if this card was co-linked when this effect was activated, you can draw 1 card. You can only use this effect of ""Knightmare Phoenix"" once per turn. Co-linked monsters you control cannot be destroyed by battle.",FIRE,Fiend,Knightmare,1900.0,,,2.0,0.25,0
Knightmare Phoenix,Flames of Destruction,"2 monsters with different names
If this card is Link Summoned: You can discard 1 card, then target 1 Spell/Trap your opponent controls; destroy it, then, if this card was co-linked when this effect was activated, you can draw 1 card. You can only use this effect of ""Knightmare Phoenix"" once per turn. Co-linked monsters you control cannot be destroyed by battle.",FIRE,Fiend,Knightmare,1900.0,,,2.0,0.15,0
Knightmare Phoenix,2019 Gold Sarcophagus Tin Mega Pack,"2 monsters with different names
If this card is Link Summoned: You can discard 1 card, then target 1 Spell/Trap your opponent controls; destroy it, then, if this card was co-linked when this effect was activated, you can draw 1 card. You can only use this effect of ""Knightmare Phoenix"" once per turn. Co-linked monsters you control cannot be destroyed by battle.",FIRE,Fiend,Knightmare,1900.0,,,2.0,0.25,0
Knightmare Phoenix,Magnificent Mavens,"2 monsters with different names
If this card is Link Summoned: You can discard 1 card, then target 1 Spell/Trap your opponent controls; destroy it, then, if this card was co-linked when this effect was activated, you can draw 1 card. You can only use this effect of ""Knightmare Phoenix"" once per turn. Co-linked monsters you control cannot be destroyed by battle.",FIRE,Fiend,Knightmare,1900.0,,,2.0,0.25,0
Valkyrie Dritte,Shadows in Valhalla,"If this card is Normal or Special Summoned: You can add 1 ""Valkyrie"" card from your Deck to your hand, except ""Valkyrie Dritte"". You can only use this effect of ""Valkyrie Dritte"" once per turn. Gains 200 ATK for each of your opponent's banished monsters.",LIGHT,Fairy,Valkyrie,1000.0,1600.0,4.0,,0.17,0
Yata-Garasu,Legacy of Darkness,"This card cannot be Special Summoned. This card returns to its owner's hand during the End Phase of the turn it is Normal Summoned or flipped face-up. When this card inflicts Battle Damage to your opponent, they skip their next Draw Phase.",WIND,Fiend,,200.0,100.0,2.0,,0.32,0
Yata-Garasu,Legacy of Darkness,"This card cannot be Special Summoned. This card returns to its owner's hand during the End Phase of the turn it is Normal Summoned or flipped face-up. When this card inflicts Battle Damage to your opponent, they skip their next Draw Phase.",WIND,Fiend,,200.0,100.0,2.0,,0.32,0
Yata-Garasu,Battles of Legend: Crystal Revenge,"This card cannot be Special Summoned. This card returns to its owner's hand during the End Phase of the turn it is Normal Summoned or flipped face-up. When this card inflicts Battle Damage to your opponent, they skip their next Draw Phase.",WIND,Fiend,,200.0,100.0,2.0,,0.32,0
Yata-Garasu,Dark Beginning 2,"This card cannot be Special Summoned. This card returns to its owner's hand during the End Phase of the turn it is Normal Summoned or flipped face-up. When this card inflicts Battle Damage to your opponent, they skip their next Draw Phase.",WIND,Fiend,,200.0,100.0,2.0,,0.32,0
Yata-Garasu,Retro Pack 2,"This card cannot be Special Summoned. This card returns to its owner's hand during the End Phase of the turn it is Normal Summoned or flipped face-up. When this card inflicts Battle Damage to your opponent, they skip their next Draw Phase.",WIND,Fiend,,200.0,100.0,2.0,,0.32,0
Yata-Garasu,Magnificent Mavens,"This card cannot be Special Summoned. This card returns to its owner's hand during the End Phase of the turn it is Normal Summoned or flipped face-up. When this card inflicts Battle Damage to your opponent, they skip their next Draw Phase.",WIND,Fiend,,200.0,100.0,2.0,,0.32,0
Gem-Knight Seraphinite,Hidden Arsenal 7: Knight of Stars,"1 ""Gem-Knight"" monster + 1 LIGHT monster
Must first be Fusion Summoned with the above Fusion Materials. During your Main Phase, you can Normal Summon/Set 1 monster in addition to your Normal Summon/Set. (You can only gain this effect once per turn.)",EARTH,Fairy,Gem-,2300.0,1400.0,5.0,,0.48,0
Gem-Knight Seraphinite,OTS Tournament Pack 6,"1 ""Gem-Knight"" monster + 1 LIGHT monster
Must first be Fusion Summoned with the above Fusion Materials. During your Main Phase, you can Normal Summon/Set 1 monster in addition to your Normal Summon/Set. (You can only gain this effect once per turn.)",EARTH,Fairy,Gem-,2300.0,1400.0,5.0,,0.48,0
Gem-Knight Seraphinite,Duel Terminal 7b,"1 ""Gem-Knight"" monster + 1 LIGHT monster
Must first be Fusion Summoned with the above Fusion Materials. During your Main Phase, you can Normal Summon/Set 1 monster in addition to your Normal Summon/Set. (You can only gain this effect once per turn.)",EARTH,Fairy,Gem-,2300.0,1400.0,5.0,,0.48,0
Gem-Knight Seraphinite,Shadows in Valhalla,"1 ""Gem-Knight"" monster + 1 LIGHT monster
Must first be Fusion Summoned with the above Fusion Materials. During your Main Phase, you can Normal Summon/Set 1 monster in addition to your Normal Summon/Set. (You can only gain this effect once per turn.)",EARTH,Fairy,Gem-,2300.0,1400.0,5.0,,0.48,0
Forbidden Apocrypha,2016 Mega-Tin Mega Pack,"Declare 1 monster card type (Fusion, Synchro, or Xyz); if 2 or more monsters of the declared type are on the field, make each player send all monsters of that type from their field to the GY.",,Normal,,,,,,0.05,0
Forbidden Apocrypha,Breakers of Shadow,"Declare 1 monster card type (Fusion, Synchro, or Xyz); if 2 or more monsters of the declared type are on the field, make each player send all monsters of that type from their field to the GY.",,Normal,,,,,,0.05,0
Forbidden Apocrypha,Duel Devastator,"Declare 1 monster card type (Fusion, Synchro, or Xyz); if 2 or more monsters of the declared type are on the field, make each player send all monsters of that type from their field to the GY.",,Normal,,,,,,0.05,0
Knightmare Mermaid,Flames of Destruction,"1 ""Knightmare"" monster, except ""Knightmare Mermaid""
If this card is Link Summoned: You can discard 1 card; Special Summon 1 ""Knightmare"" monster from your Deck, then, if this card was co-linked when this effect was activated, you can draw 1 card. You can only use this effect of ""Knightmare Mermaid"" once per turn. Monsters on the field lose 1000 ATK/DEF, unless they are co-linked.",WATER,Fiend,Knightmare,1000.0,,,1.0,0.13,0
Knightmare Mermaid,2019 Gold Sarcophagus Tin Mega Pack,"1 ""Knightmare"" monster, except ""Knightmare Mermaid""
If this card is Link Summoned: You can discard 1 card; Special Summon 1 ""Knightmare"" monster from your Deck, then, if this card was co-linked when this effect was activated, you can draw 1 card. You can only use this effect of ""Knightmare Mermaid"" once per turn. Monsters on the field lose 1000 ATK/DEF, unless they are co-linked.",WATER,Fiend,Knightmare,1000.0,,,1.0,0.13,0
Trickstar Delfiendium,Flames of Destruction,"2+ ""Trickstar"" monsters
When this card declares an attack while pointing to a ""Trickstar"" monster: You can target your banished ""Trickstar"" cards, up to the number of Link Monsters your opponent controls; add them to your hand, and if you do, this card gains 1000 ATK for each card added, until the end of this turn.",LIGHT,Fairy,Trickstar,2200.0,,,3.0,0.16,0
Trickstar Delfiendium,2019 Gold Sarcophagus Tin Mega Pack,"2+ ""Trickstar"" monsters
When this card declares an attack while pointing to a ""Trickstar"" monster: You can target your banished ""Trickstar"" cards, up to the number of Link Monsters your opponent controls; add them to your hand, and if you do, this card gains 1000 ATK for each card added, until the end of this turn.",LIGHT,Fairy,Trickstar,2200.0,,,3.0,0.16,0
Change of Heart,Legendary Collection 3: Yugi's World Mega Pack,Target 1 monster your opponent controls; take control of it until the End Phase.,,Normal,,,,,,0.45,0
Change of Heart,25th Anniversary Rarity Collection,Target 1 monster your opponent controls; take control of it until the End Phase.,,Normal,,,,,,0.17,0
Change of Heart,25th Anniversary Rarity Collection,Target 1 monster your opponent controls; take control of it until the End Phase.,,Normal,,,,,,0.17,0
Change of Heart,Metal Raiders,Target 1 monster your opponent controls; take control of it until the End Phase.,,Normal,,,,,,0.45,0
Change of Heart,Metal Raiders,Target 1 monster your opponent controls; take control of it until the End Phase.,,Normal,,,,,,0.45,0
Change of Heart,Metal Raiders,Target 1 monster your opponent controls; take control of it until the End Phase.,,Normal,,,,,,0.45,0
Change of Heart,Starter Deck: Kaiba Evolution,Target 1 monster your opponent controls; take control of it until the End Phase.,,Normal,,,,,,0.45,0
Change of Heart,Dark Beginning 1,Target 1 monster your opponent controls; take control of it until the End Phase.,,Normal,,,,,,0.45,0
Change of Heart,Battle Pack: Epic Dawn,Target 1 monster your opponent controls; take control of it until the End Phase.,,Normal,,,,,,0.45,0
Change of Heart,Battle Pack: Epic Dawn,Target 1 monster your opponent controls; take control of it until the End Phase.,,Normal,,,,,,0.45,0
Change of Heart,Starter Deck: Pegasus,Target 1 monster your opponent controls; take control of it until the End Phase.,,Normal,,,,,,0.45,0
Change of Heart,Starter Deck: Yugi Evolution,Target 1 monster your opponent controls; take control of it until the End Phase.,,Normal,,,,,,0.45,0
